     Refresh     ,Last Update : 2024-08-31 23:39:24,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,
Frequency,D,Ascending,0,,,,,,,,,,,,
Period(From),20160303,Korean,0,,,,,,,,,,,,
Period(To),20240830,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code,A069500,A232080,A143850,A195930,A238720,A192090,A148070,A136340,A182490,A132030,A130680,A114800,A138230,A139660,A130730
Name,KODEX 200,TIGER 코스닥150,TIGER 미국S&P500선물(H),TIGER 유로스탁스50(합성 H),ACE 일본Nikkei225(H),TIGER 차이나CSI300,KOSEF 국고채10년,RISE 중기우량회사채,TIGER 단기선진하이일드(합성 H),KODEX 골드선물(H),TIGER 원유선물Enhanced(H),KODEX 인버스,KOSEF 미국달러선물,KOSEF 미국달러선물인버스,KOSEF 단기자금
Item Code,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100,S100100
Unit,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares
Base Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D A T E,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가
2016-03-03,"24,370","10,850","23,175","9,690","10,520","7,200","119,720","103,880","9,495","9,570","3,555","8,260","12,480","10,315","100,825"
2016-03-04,"24,375","10,880","23,275","9,645","10,540","7,230","119,495","103,670","9,530","9,745","3,600","8,250","12,360","10,410","100,820"
2016-03-07,"24,425","10,825","23,290","9,640","10,515","7,265","119,500","103,850","9,565","9,725","3,765","8,230","12,315","10,430","100,825"
2016-03-08,"24,255","10,835","23,265","9,635","10,465","7,200","119,845","103,850","9,570","9,790","3,800","8,295","12,370","10,385","100,815"
2016-03-09,"24,360","10,900","23,215","9,580","10,360","7,175","119,785","103,700","9,565","9,685","3,745","8,260","12,490","10,300","100,840"
2016-03-10,"24,585","10,960","23,255","9,590","10,480","7,190","119,670","103,895","9,555","9,640","3,810","8,200","12,355","10,415","100,825"
2016-03-11,"24,640","10,995","23,400","9,520","10,525","7,145","119,290","103,790","9,555","9,835","3,840","8,175","12,255","10,485","100,840"
2016-03-14,"24,620","10,945","23,575","9,905","10,690","7,200","119,080","103,770","9,620","9,680","3,810","8,175","12,160","10,560","100,845"
2016-03-15,"24,600","10,880","23,515","9,900","10,675","7,140","119,220","103,795","9,620","9,460","3,710","8,185","12,200","10,540","100,835"
2016-03-16,"24,665","10,890","23,575","9,870","10,525","7,170","119,175","103,780","9,620","9,500","3,705","8,160","12,235","10,480","100,850"
2016-03-17,"24,800","10,890","23,660","9,885","10,455","7,170","119,620","103,860","9,605","9,720","3,805","8,125","12,040","10,655","100,855"
2016-03-18,"24,815","10,950","23,800","9,750","10,365","7,290","120,025","103,870","9,645","9,790","3,855","8,110","11,935","10,755","100,855"
2016-03-21,"24,785","10,930","23,825","9,780","10,345","7,415","120,135","103,930","9,665","9,600","3,810","8,115","11,955","10,770","100,855"
2016-03-22,"24,910","10,925","23,915","9,730","10,495","7,425","119,990","103,920","9,680","9,620","3,880","8,085","11,840","10,835","100,850"
2016-03-23,"24,890","10,865","23,870","9,720","10,520","7,350","119,645","103,650","9,675","9,520","3,875","8,090","11,925","10,770","100,845"
2016-03-24,"24,825","10,785","23,700","9,725","10,495","7,350","119,925","103,975","9,655","9,395","3,810","8,105","11,960","10,725","100,875"
2016-03-25,"24,780","10,700","23,900","9,705","10,535","7,305","119,915","103,965","9,620","9,535","3,775","8,115","12,010","10,720","100,860"
2016-03-28,"24,820","10,615","23,800","9,565","10,580","7,370","119,990","103,920","9,605","9,385","3,810","8,105","11,970","10,740","100,855"
2016-03-29,"24,950","10,730","23,745","9,555","10,650","7,230","120,240","104,070","9,615","9,405","3,770","8,065","11,950","10,770","100,870"
2016-03-30,"25,060","10,780","24,000","9,645","10,495","7,315","120,665","104,085","9,610","9,545","3,760","8,030","11,820","10,885","100,885"
2016-03-31,"24,955","10,740","24,020","9,730","10,470","7,295","120,520","104,115","9,625","9,490","3,720","8,075","11,745","10,945","100,920"
2016-04-01,"24,600","10,865","23,895","9,555","10,085","7,260","120,515","104,190","9,645","9,505","3,705","8,170","11,855","10,860","100,925"
2016-04-04,"24,645","10,920","24,160","9,450","10,020","7,340","120,580","104,190","9,655","9,380","3,625","8,155","11,775","10,920","100,910"
2016-04-05,"24,440","10,930","23,995","9,480","9,790","7,435","120,480","104,210","9,660","9,450","3,540","8,220","11,870","10,840","100,930"
2016-04-06,"24,565","10,840","23,895","9,285","9,760","7,400","120,590","104,205","9,640","9,485","3,595","8,185","11,870","10,825","100,920"
2016-04-07,"24,580","10,945","24,085","9,325","9,815","7,365","120,395","104,225","9,670","9,490","3,680","8,185","11,830","10,875","100,945"
2016-04-08,"24,530","10,915","23,895","9,215","9,865","7,260","120,415","104,205","9,670","9,530","3,665","8,200","11,850","10,875","100,960"
2016-04-11,"24,550","10,770","23,815","9,320","9,750","7,380","120,595","104,220","9,680","9,625","3,775","8,190","11,775","10,940","100,970"
2016-04-12,"24,745","10,795","23,845","9,365","9,915","7,330","120,590","104,230","9,735","9,670","3,845","8,135","11,760","10,955","100,960"
2016-04-14,"25,250","10,730","24,250","9,725","10,505","7,460","120,035","104,175","9,850","9,535","3,920","8,015","11,860","10,850","100,945"
2016-04-15,"25,230","10,760","24,275","9,765","10,440","7,425","120,110","104,175","9,820","9,495","3,920","7,995","11,770","10,945","100,950"
2016-04-18,"25,145","10,695","24,125","9,655","10,125","7,330","120,105","104,205","9,815","9,510","3,695","8,015","11,815","10,925","100,985"
2016-04-19,"25,180","10,835","24,400","9,795","10,570","7,310","120,105","103,895","9,745","9,520","3,810","8,000","11,670","11,045","100,985"
2016-04-20,"25,095","10,810","24,410","9,920","10,490","7,120","120,390","104,230","9,795","9,615","3,825","8,030","11,655","11,070","100,990"
2016-04-21,"25,290","10,765","24,595","10,050","10,770","7,185","120,295","104,230","9,880","9,670","4,045","7,965","11,635","11,075","100,995"
2016-04-22,"25,195","10,770","24,355","10,070","10,910","7,180","120,370","104,280","9,885","9,615","4,015","7,995","11,715","11,005","101,010"
2016-04-25,"25,165","10,825","24,390","10,075","10,865","7,150","120,255","104,300","9,880","9,535","3,985","8,010","11,785","10,935","101,010"
2016-04-26,"25,240","10,805","24,345","10,060","10,820","7,130","120,485","104,325","9,875","9,535","4,000","7,975","11,800","10,925","101,020"
2016-04-27,"25,240","10,725","24,340","10,025","10,745","7,160","120,480","104,260","9,875","9,580","4,090","7,980","11,785","10,950","100,995"
2016-04-28,"24,530","10,625","24,285","9,970","10,385","7,085","120,480","104,375","9,875","9,650","4,135","8,060","11,695","11,030","101,005"
2016-04-29,"24,450","10,620","24,190","9,945","10,380","7,180","120,675","104,355","9,875","9,820","4,220","8,095","11,695","11,035","101,035"
2016-05-02,"24,265","10,420","24,090","9,755","10,025","7,080","120,680","104,280","9,850","9,970","4,145","8,140","11,670","11,040","101,045"
2016-05-03,"24,340","10,610","24,235","9,780","10,120","7,155","120,655","104,365","9,845","9,930","4,130","8,120","11,715","11,015","101,075"
2016-05-04,"24,215","10,520","24,065","9,600","10,115","7,210","120,945","104,450","9,845","9,860","4,045","8,170","11,845","10,890","101,075"
2016-05-09,"24,175","10,535","24,075","9,590","10,100","7,030","120,955","104,500","9,855","9,855","4,140","8,180","11,960","10,805","101,105"
2016-05-10,"24,270","10,600","24,135","9,595","10,305","7,055","120,990","104,515","9,795","9,750","4,030","8,145","12,025","10,720","101,100"
2016-05-11,"24,245","10,665","24,305","9,695","10,310","7,095","121,115","104,505","9,815","9,790","4,090","8,160","11,975","10,760","101,045"
2016-05-12,"24,190","10,685","24,180","9,560","10,345","7,005","121,090","104,505","9,835","9,800","4,215","8,175","11,920","10,810","101,080"
2016-05-13,"24,000","10,645","24,015","9,530","10,225","7,020","121,030","104,480","9,840","9,820","4,255","8,240","12,020","10,745","101,075"
2016-05-16,"24,035","10,610","23,990","9,515","10,290","7,050","121,005","104,470","9,900","9,835","4,300","8,235","12,105","10,670","101,075"
2016-05-17,"24,050","10,510","24,200","9,595","10,170","7,045","120,870","104,435","9,845","9,855","4,385","8,235","12,040","10,720","101,085"
2016-05-18,"23,915","10,320","23,940","9,555","10,365","7,035","120,745","104,395","9,860","9,800","4,405","8,295","12,130","10,635","101,095"
2016-05-19,"23,850","10,245","23,880","9,500","10,390","7,090","120,450","104,345","9,865","9,670","4,310","8,310","12,215","10,550","101,115"
2016-05-20,"23,850","10,380","24,010","9,505","10,395","7,085","120,810","104,400","9,900","9,650","4,400","8,305","12,210","10,565","101,120"
2016-05-23,"23,915","10,475","24,015","9,580","10,300","7,085","120,720","104,400","9,900","9,630","4,335","8,285","12,130","10,620","101,135"
2016-05-24,"23,745","10,410","23,950","9,475","10,265","7,045","120,935","104,475","9,915","9,600","4,330","8,345","12,230","10,545","101,155"
2016-05-25,"24,080","10,520","24,400","9,735","10,445","7,050","120,955","104,475","9,940","9,450","4,430","8,230","12,150","10,635","101,140"
2016-05-26,"24,035","10,455","24,440","9,880","10,455","7,000","120,930","104,485","9,960","9,485","4,480","8,235","12,125","10,655","101,110"
2016-05-27,"24,160","10,500","24,530","9,880","10,475","7,030","120,980","104,475","9,970","9,405","4,425","8,205","12,115","10,665","101,125"
2016-05-30,"24,105","10,530","24,625","9,945","10,555","7,065","120,755","104,410","9,970","9,260","4,425","8,220","12,230","10,550","101,140"
2016-05-31,"24,300","10,610","24,630","10,065","10,740","7,260","120,785","104,435","9,965","9,325","4,470","8,160","12,235","10,555","101,140"
2016-06-01,"24,315","10,635","24,550","9,960","10,530","7,270","121,225","104,580","9,990","9,360","4,410","8,155","12,230","10,545","101,150"
2016-06-02,"24,360","10,640","24,565","9,870","10,300","7,235","121,195","104,590","9,975","9,345","4,425","8,140","12,190","10,600","101,170"
2016-06-03,"24,400","10,635","24,685","9,915","10,325","7,270","121,200","104,630","9,925","9,315","4,440","8,130","12,150","10,630","101,175"
2016-06-07,"24,725","10,695","24,750","9,770","10,415","7,170","121,770","104,690","9,960","9,560","4,480","8,035","11,940","10,815","101,185"
2016-06-08,"24,975","10,725","24,735","9,805","10,460","7,130","121,850","103,410","9,990","9,610","4,565","7,995","11,870","10,870","101,195"
2016-06-09,"24,965","10,690","24,770","9,760","10,405","7,135","122,150","103,530","10,085","9,700","4,650","8,015","11,865","10,875","101,255"
2016-06-10,"24,865","10,760","24,760","9,675","10,290","7,140","122,400","103,590","10,020","9,755","4,580","8,010","11,960","10,810","101,255"
2016-06-13,"24,350","10,510","24,495","9,420","10,010","7,080","122,615","103,620","10,020","9,865","4,450","8,145","12,050","10,735","101,275"
2016-06-14,"24,270","10,525","24,375","9,255","9,885","7,015","122,485","103,580","10,050","9,835","4,430","8,160","12,045","10,740","101,285"
2016-06-15,"24,260","10,465","24,290","9,160","9,920","7,075","122,530","103,575","10,005","9,915","4,355","8,170","12,070","10,725","101,280"
2016-06-16,"24,075","10,375","24,225","9,155","9,630","6,955","122,885","103,615","10,020","10,020","4,315","8,230","12,020","10,765","101,310"
2016-06-17,"24,115","10,295","24,395","9,275","9,720","7,015","122,880","103,605","9,915","9,900","4,290","8,205","12,040","10,735","101,315"
2016-06-20,"24,450","10,390","24,525","9,565","9,945","7,015","122,620","103,565","9,940","9,860","4,420","8,095","11,925","10,845","101,310"
2016-06-21,"24,450","10,415","24,495","9,570","10,045","7,015","122,540","103,565","10,055","9,895","4,465","8,095","11,875","10,880","101,300"
2016-06-22,"24,590","10,375","24,490","9,640","10,025","7,040","122,560","103,570","10,060","9,710","4,510","8,050","11,870","10,910","101,300"
2016-06-23,"24,605","10,305","24,580","9,665","10,110","6,965","122,635","103,620","10,065","9,745","4,470","8,050","11,825","10,935","101,300"
2016-06-24,"23,815","9,770","23,530","8,660","9,290","6,995","123,620","103,835","10,095","10,190","4,310","8,305","12,135","10,655","101,325"
2016-06-27,"23,880","9,880","23,725","8,920","9,500","7,010","124,090","103,950","10,025","10,260","4,325","8,285","12,145","10,650","101,355"
2016-06-28,"23,940","10,045","23,640","8,900","9,545","7,050","124,220","103,815","9,975","10,165","4,285","8,250","12,035","10,740","101,350"
2016-06-29,"24,225","10,220","23,930","9,040","9,700","7,010","124,285","103,915","9,910","10,185","4,395","8,170","11,940","10,830","101,345"
2016-06-30,"24,400","10,310","24,255","9,195","9,740","7,010","124,410","103,960","9,970","10,125","4,480","8,145","11,840","10,925","101,360"
2016-07-01,"24,600","10,480","24,570","9,330","9,775","7,020","124,945","103,990","10,070","10,280","4,425","8,050","11,775","10,990","101,375"
2016-07-04,"24,685","10,530","24,710","9,330","9,810","7,080","124,905","104,020","10,020","10,380","4,480","8,025","11,785","10,975","101,380"
2016-07-05,"24,655","10,520","24,615","9,250","9,710","7,070","125,035","104,050","10,105","10,365","4,405","8,045","11,890","10,890","101,390"
2016-07-06,"24,160","10,450","24,415","9,005","9,530","7,130","125,110","104,075","9,955","10,560","4,315","8,195","11,995","10,800","101,390"
2016-07-07,"24,435","10,630","24,635","9,055","9,515","7,090","125,240","104,025","10,105","10,555","4,340","8,105","11,880","10,890","101,410"
2016-07-08,"24,310","10,555","24,545","9,070","9,425","7,090","125,335","104,025","10,140","10,470","4,235","8,145","11,935","10,850","101,405"
2016-07-11,"24,670","10,590","25,040","9,195","9,800","7,110","125,275","104,080","10,080","10,500","4,230","8,035","11,805","10,985","101,405"
2016-07-12,"24,670","10,595","25,035","9,305","9,970","7,120","125,165","104,010","10,200","10,425","4,215","8,045","11,815","10,950","101,415"
2016-07-13,"24,835","10,635","25,165","9,500","10,140","7,235","125,150","104,115","10,240","10,320","4,270","8,000","11,790","10,970","101,420"
2016-07-14,"24,880","10,590","25,230","9,445","10,150","7,200","125,565","104,120","10,135","10,275","4,230","7,985","11,715","11,040","101,430"
2016-07-15,"25,005","10,490","25,300","9,565","10,240","7,155","125,330","104,060","10,170","10,280","4,220","7,950","11,670","11,090","101,430"
2016-07-18,"25,050","10,525","25,350","9,630","10,290","7,160","125,105","104,125","10,145","10,230","4,245","7,925","11,690","11,065","101,430"
2016-07-19,"25,015","10,550","25,340","9,590","10,350","7,100","124,945","104,090","10,165","10,235","4,185","7,940","11,690","11,075","101,435"
2016-07-20,"24,970","10,610","25,350","9,515","10,300","7,115","124,885","104,160","10,260","10,210","4,185","7,945","11,735","11,040","101,435"
2016-07-21,"24,995","10,645","25,485","9,625","10,380","7,135","124,790","104,145","10,255","10,120","4,225","7,935","11,695","11,090","101,440"
2016-07-22,"24,980","10,570","25,355","9,630","10,300","7,105","124,880","104,165","10,295","10,200","4,170","7,940","11,680","11,095","101,445"
2016-07-25,"24,995","10,595","25,460","9,650","10,320","7,115","124,960","104,195","10,205","10,125","4,120","7,940","11,705","11,060","101,455"
2016-07-26,"25,215","10,550","25,450","9,655","10,220","7,150","125,075","104,125","10,230","10,135","4,085","7,865","11,675","11,080","101,455"
2016-07-27,"25,200","10,485","25,485","9,665","10,375","6,990","125,170","104,210","10,280","10,125","4,060","7,870","11,665","11,125","101,465"
2016-07-28,"25,135","10,505","25,455","9,745","10,235","7,000","125,375","104,280","10,155","10,295","3,960","7,890","11,570","11,210","101,465"
2016-07-29,"25,115","10,555","25,430","9,690","10,190","7,015","125,410","104,255","10,275","10,290","3,890","7,895","11,540","11,230","101,475"
2016-08-01,"25,320","10,475","25,575","9,850","10,275","6,925","125,565","104,260","10,250","10,340","3,960","7,835","11,415","11,350","101,475"
2016-08-02,"25,125","10,380","25,450","9,660","10,130","6,880","125,415","104,320","10,170","10,395","3,865","7,890","11,425","11,350","101,475"
2016-08-03,"24,805","10,375","25,255","9,455","9,985","6,940","124,950","104,265","10,145","10,495","3,810","7,975","11,490","11,275","101,480"
2016-08-04,"24,860","10,405","25,345","9,535","10,070","6,915","125,020","104,255","10,235","10,365","3,885","7,965","11,460","11,300","101,490"
2016-08-05,"25,130","10,295","25,400","9,570","10,100","6,920","125,300","104,305","10,295","10,480","3,915","7,885","11,425","11,335","101,490"
2016-08-08,"25,320","10,385","25,535","9,700","10,355","6,930","124,950","104,270","10,285","10,265","3,935","7,835","11,405","11,355","101,490"
2016-08-09,"25,515","10,490","25,510","9,680","10,410","6,960","124,985","104,260","10,220","10,205","3,955","7,780","11,370","11,390","101,490"
2016-08-10,"25,430","10,670","25,540","9,845","10,395","6,945","125,225","104,345","10,235","10,390","3,955","7,800","11,265","11,505","101,500"
2016-08-11,"25,460","10,540","25,530","9,830","10,350","6,980","125,295","104,365","10,230","10,295","3,935","7,790","11,305","11,455","101,510"
2016-08-12,"25,550","10,600","25,580","9,840","10,500","7,015","125,095","104,335","10,240","10,280","4,045","7,770","11,330","11,420","101,510"
2016-08-16,"25,535","10,520","25,640","9,845","10,315","7,200","125,170","104,335","10,240","10,360","4,130","7,765","11,235","11,515","101,515"
2016-08-17,"25,515","10,460","25,615","9,750","10,370","7,260","124,985","104,325","10,255","10,300","4,200","7,785","11,395","11,365","101,510"
2016-08-18,"25,700","10,520","25,605","9,725","10,220","7,285","125,150","104,375","10,335","10,365","4,245","7,725","11,400","11,360","101,525"
2016-08-19,"25,760","10,500","25,605","9,720","10,285","7,315","125,000","104,350","10,315","10,365","4,365","7,700","11,500","11,265","101,525"
2016-08-22,"25,610","10,300","25,590","9,615","10,275","7,270","124,900","104,315","10,325","10,225","4,300","7,745","11,590","11,180","101,535"
2016-08-23,"25,745","10,325","25,610","9,620","10,260","7,240","124,950","104,360","10,300","10,260","4,235","7,710","11,470","11,270","101,530"
2016-08-24,"25,625","10,305","25,660","9,720","10,290","7,245","125,100","104,390","10,305","10,235","4,250","7,745","11,535","11,215","101,530"
2016-08-25,"25,670","10,275","25,560","9,770","10,240","7,150","124,970","104,285","10,330","10,150","4,245","7,730","11,475","11,270","101,535"
2016-08-26,"25,570","10,210","25,530","9,665","10,150","7,130","124,980","104,285","10,315","10,125","4,260","7,750","11,450","11,295","101,555"
2016-08-29,"25,575","9,990","25,420","9,715","10,255","7,140","124,805","104,305","10,305","10,095","4,245","7,755","11,580","11,190","101,535"
2016-08-30,"25,680","10,020","25,600","9,745","10,310","7,150","124,960","104,295","10,345","10,105","4,255","7,725","11,525","11,245","101,535"
2016-08-31,"25,585","9,970","25,565","9,805","10,400","7,140","124,405","104,190","10,340","10,050","4,195","7,755","11,480","11,290","101,535"
2016-09-01,"25,520","10,140","25,550","9,805","10,395","7,215","124,125","104,185","10,325","10,040","4,100","7,770","11,530","11,205","101,550"
2016-09-02,"25,570","10,180","25,465","9,810","10,475","7,120","123,935","104,160","10,325","10,030","4,005","7,750","11,485","11,250","101,555"
2016-09-05,"25,895","10,220","25,620","10,000","10,515","7,135","124,100","104,205","10,365","10,165","4,070","7,665","11,370","11,370","101,555"
2016-09-06,"25,990","10,175","25,560","10,040","10,540","7,155","124,190","104,225","10,365","10,165","4,105","7,635","11,355","11,385","101,560"
2016-09-07,"25,940","10,090","25,670","10,010","10,420","7,095","124,610","104,220","10,370","10,355","4,095","7,645","11,210","11,525","101,570"
2016-09-08,"25,935","10,160","25,645","9,990","10,400","7,070","124,600","104,300","10,385","10,330","4,200","7,640","11,240","11,490","101,580"
2016-09-09,"25,630","10,070","25,570","9,960","10,510","7,100","124,180","104,180","10,390","10,250","4,255","7,730","11,295","11,455","101,575"
2016-09-12,"24,985","9,840","24,765","9,775","10,295","7,010","123,620","104,085","10,360","10,160","4,105","7,910","11,435","11,305","101,580"
2016-09-13,"25,075","9,910","25,230","9,850","10,390","7,010","123,550","104,090","10,350","10,170","4,145","7,885","11,515","11,225","101,585"
2016-09-19,"25,335","9,975","25,235","9,615","10,330","7,050","123,425","104,105","10,320","10,090","4,105","7,810","11,500","11,250","101,585"
2016-09-20,"25,375","10,100","25,195","9,685","10,265","7,120","123,470","104,115","10,340","10,095","4,045","7,800","11,520","11,225","101,595"
2016-09-21,"25,545","10,165","25,225","9,600","10,400","7,080","123,425","104,130","10,345","10,100","4,090","7,750","11,535","11,210","101,590"
2016-09-22,"25,770","10,270","25,385","9,685","10,365","7,040","123,940","104,245","10,350","10,235","4,110","7,685","11,350","11,395","101,605"
2016-09-23,"25,750","10,310","25,525","9,855","10,300","7,075","124,250","104,155","10,395","10,230","4,105","7,690","11,340","11,400","101,615"
2016-09-26,"25,665","10,230","25,370","9,835","10,225","7,005","124,440","104,200","10,400","10,230","4,080","7,720","11,390","11,340","101,610"
2016-09-27,"25,840","10,275","25,350","9,690","10,360","6,945","124,295","104,185","10,340","10,240","4,110","7,660","11,280","11,445","101,610"
2016-09-28,"25,765","10,230","25,325","9,660","10,245","6,950","124,445","104,110","10,390","10,165","4,075","7,690","11,280","11,470","101,605"
2016-09-29,"25,945","10,260","25,510","9,830","10,415","6,995","124,610","104,180","10,400","10,145","4,200","7,625","11,300","11,445","101,620"
2016-09-30,"25,665","10,080","25,165","9,630","10,310","6,980","125,330","104,310","10,400","10,175","4,180","7,715","11,335","11,425","101,640"
2016-10-04,"25,815","10,130","25,325","9,640","10,420","7,035","124,770","104,145","10,430","10,025","4,280","7,665","11,395","11,355","101,635"
2016-10-05,"25,800","10,080","25,255","9,765","10,500","6,990","124,275","104,140","10,430","9,725","4,335","7,670","11,460","11,295","101,635"
2016-10-06,"25,980","10,035","25,355","9,830","10,600","7,020","124,050","104,050","10,430","9,705","4,370","7,630","11,450","11,305","101,645"
2016-10-07,"25,900","9,880","25,310","9,810","10,475","7,045","123,930","104,030","10,430","9,595","4,415","7,650","11,475","11,270","101,650"
2016-10-10,"25,940","9,905","25,370","9,770","10,475","7,070","123,955","104,000","10,420","9,685","4,335","7,635","11,405","11,345","101,645"
2016-10-11,"25,580","9,845","25,385","9,815","10,575","7,130","123,155","104,000","10,420","9,630","4,430","7,750","11,530","11,225","101,635"
2016-10-12,"25,560","9,850","25,170","9,815","10,510","7,140","123,320","103,890","10,470","9,600","4,425","7,750","11,560","11,190","101,640"
2016-10-13,"25,335","9,725","24,970","9,760","10,540","7,170","123,975","104,110","10,470","9,660","4,340","7,825","11,670","11,070","101,665"
2016-10-14,"25,465","9,740","25,050","9,735","10,585","7,185","124,120","104,060","10,460","9,595","4,400","7,780","11,645","11,095","101,660"
2016-10-17,"25,505","9,705","24,945","9,800","10,615","7,185","123,340","103,970","10,450","9,590","4,375","7,770","11,720","11,045","101,665"
2016-10-18,"25,680","9,760","25,125","9,770","10,610","7,165","123,225","103,850","10,450","9,615","4,395","7,720","11,630","11,115","101,660"
2016-10-19,"25,710","9,770","25,150","9,890","10,610","7,160","123,320","103,970","10,450","9,650","4,430","7,710","11,575","11,190","101,665"
2016-10-20,"25,735","9,720","25,245","9,905","10,730","7,155","123,240","103,930","10,500","9,730","4,435","7,700","11,605","11,150","101,675"
2016-10-21,"25,610","9,660","25,140","9,980","10,730","7,185","123,300","103,880","10,505","9,680","4,390","7,740","11,670","11,070","101,670"
2016-10-24,"25,805","9,560","25,210","10,010","10,730","7,280","123,010","103,750","10,510","9,670","4,415","7,685","11,645","11,095","101,670"
2016-10-25,"25,765","9,480","25,285","10,020","10,815","7,300","123,100","103,820","10,515","9,695","4,435","7,700","11,670","11,075","101,665"
2016-10-26,"25,450","9,515","25,150","9,985","10,915","7,250","123,220","103,715","10,510","9,755","4,365","7,790","11,670","11,080","101,665"
2016-10-27,"25,565","9,720","25,090","9,935","10,790","7,260","122,755","103,715","10,450","9,700","4,330","7,750","11,745","10,990","101,670"
2016-10-28,"25,580","9,550","25,020","10,010","10,870","7,285","122,280","103,585","10,490","9,700","4,345","7,745","11,775","10,960","101,680"
2016-10-31,"25,530","9,440","25,120","9,960","10,855","7,255","122,520","103,660","10,460","9,790","4,270","7,770","11,760","10,985","101,680"
2016-11-01,"25,540","9,455","25,080","9,905","10,860","7,310","122,250","103,660","10,450","9,780","4,210","7,770","11,735","11,020","101,685"
2016-11-02,"25,205","9,225","24,710","9,820","10,680","7,310","122,210","103,655","10,410","9,905","4,165","7,870","11,815","10,920","101,695"
2016-11-03,"25,290","9,275","24,635","9,720","10,685","7,315","122,620","103,685","10,370","9,960","4,140","7,845","11,715","11,025","101,705"
2016-11-04,"25,200","9,220","24,580","9,705","10,610","7,340","122,530","103,750","10,365","9,925","4,090","7,870","11,770","10,985","101,710"
2016-11-07,"25,445","9,400","24,815","9,620","10,680","7,305","122,495","103,635","10,370","9,855","4,080","7,795","11,760","10,990","101,710"
2016-11-08,"25,500","9,415","25,090","9,735","10,705","7,310","122,395","103,805","10,400","9,800","4,085","7,785","11,670","11,065","101,710"
2016-11-09,"24,975","9,100","24,125","9,415","10,215","7,305","123,015","103,850","10,390","10,085","4,020","7,935","11,820","10,930","101,725"
2016-11-10,"25,470","9,440","25,545","9,935","10,900","7,445","121,500","103,650","10,375","9,855","4,115","7,785","11,845","10,925","101,745"
2016-11-11,"25,215","9,355","25,580","9,885","10,880","7,560","120,360","103,575","10,375","9,670","4,075","7,855","11,975","10,780","101,730"
2016-11-14,"25,015","9,310","25,625","9,920","11,085","7,600","119,150","103,405","10,375","9,325","4,000","7,915","12,045","10,715","101,715"
2016-11-15,"24,925","9,220","25,465","9,915","11,075","7,585","118,885","103,325","10,280","9,390","4,015","7,950","12,030","10,715","101,705"
2016-11-16,"25,015","9,370","25,695","9,920","11,180","7,610","118,860","103,255","10,350","9,430","4,120","7,920","12,020","10,725","101,705"
2016-11-17,"25,000","9,370","25,665","9,880","11,155","7,555","118,585","103,020","10,335","9,380","4,070","7,920","12,085","10,660","101,700"
2016-11-18,"24,990","9,250","25,735","9,870","11,250","7,600","118,200","103,085","10,365","9,200","4,055","7,920","12,145","10,600","101,700"
2016-11-21,"24,940","9,085","25,785","9,800","11,255","7,630","118,125","103,020","10,365","9,280","4,140","7,945","12,180","10,570","101,680"
2016-11-22,"25,225","9,140","25,915","9,890","11,290","7,680","118,180","103,080","10,355","9,320","4,300","7,850","12,070","10,660","101,695"
2016-11-23,"25,320","9,025","25,995","9,920","11,290","7,680","118,200","102,985","10,385","9,255","4,225","7,825","12,085","10,640","101,685"
2016-11-24,"25,190","8,940","25,955","9,880","11,480","7,710","117,710","102,845","10,450","9,040","4,235","7,860","12,115","10,620","101,695"
2016-11-25,"25,200","8,970","26,005","9,875","11,465","7,730","117,880","102,905","10,425","9,025","4,180","7,860","12,085","10,645","101,670"
2016-11-28,"25,275","8,890","26,050","9,930","11,400","7,820","117,950","102,885","10,415","9,095","4,115","7,835","12,010","10,700","101,685"
2016-11-29,"25,285","8,945","25,940","9,810","11,440","7,860","118,300","103,080","10,425","9,110","4,150","7,840","12,000","10,710","101,695"
2016-11-30,"25,410","8,910","26,010","9,825","11,460","7,835","118,350","103,090","10,425","9,075","4,100","7,800","12,005","10,715","101,705"
2016-12-01,"25,430","8,915","25,950","9,855","11,550","7,850","117,625","102,985","10,425","8,990","4,355","7,800","11,995","10,730","101,715"
2016-12-02,"25,250","8,750","25,780","9,760","11,420","7,840","117,100","103,045","10,410","8,965","4,355","7,855","12,040","10,675","101,730"
2016-12-05,"25,220","8,610","25,775","9,670","11,355","7,675","117,545","103,000","10,420","8,995","4,445","7,860","12,075","10,660","101,755"
2016-12-06,"25,525","8,710","25,995","9,900","11,450","7,720","117,910","103,145","10,480","8,930","4,490","7,770","12,020","10,715","101,765"
2016-12-07,"25,595","8,660","26,105","10,030","11,550","7,660","117,700","101,925","10,495","8,935","4,440","7,755","12,010","10,740","101,775"
2016-12-08,"26,030","8,730","26,400","10,205","11,665","7,640","117,885","101,995","10,500","8,990","4,400","7,635","11,910","10,825","101,785"
